Cafe Name,Location,Open,Close,Coffee,Wifi,Power
Mellower Cafe,https://goo.gl/maps/eiUpLiCneswpYW5y8,09:30AM,08:00PM,☕☕☕,💪💪,🔌🔌
Twenty Eight Cafe,https://g.page/TwentyEightCafe?share,07:30AM,04:30PM,☕☕☕☕,💪💪,🔌🔌
Craftsmen Specialty Coffee,https://g.page/CraftsmenClarkeQuayCentral?share,08:00AM,09:00PM,☕☕☕☕,💪💪,🔌🔌
Jewel Coffee,https://goo.gl/maps/nGAiA9YGrUUxhLyCA,07:00AM,05:00PM,☕☕☕☕,💪💪,🔌🔌
Grids Coffee & Bar,https://g.page/Gridscoffee?share,09:00AM,06:00PM,☕☕☕☕,💪💪,✘
Central Perk,https://goo.gl/maps/AeZCXVvss3m7qcHe9,11:00AM,10:30PM,☕☕☕☕,💪💪,✘
Group Therapy Coffee - Katong V,https://goo.gl/maps/SkowQ5AoFDoUCLcA6,08:00AM,05:00PM,☕☕☕☕,💪💪,✘
Tolido's Espresso Nook,https://goo.gl/maps/vns2WUPiT8YKpzno8,09:00AM,04:30PM,☕☕☕☕,💪,✘
SweetSpot,https://goo.gl/maps/a9GVdURviJN2sfgC6,11:00AM,06:00PM,☕☕☕☕,💪,✘
My Awesome Cafe,https://g.page/myawesomecafe?share,11:00AM,09:00PM,☕☕☕☕,💪,✘
Wildseed Cafe at The Alkaff Mansion,https://goo.gl/maps/oBzyT6JKssGnypQQ7,08:00AM,05:00PM,☕☕☕☕,💪,✘
Wildseed Cafe at The Summerhouse,https://goo.gl/maps/JccNrqZR39TmVmfY6,08:00AM,05:00PM,☕☕☕☕,💪,✘
Dutch Colony,https://g.page/dutch-colony-frankel?share,08:00AM,06:00PM,☕☕☕,💪💪,🔌🔌
The Coffee Academics,https://goo.gl/maps/SJ9gy31aGn5Fp73j7,09:00AM,06:30PM,☕☕☕,💪💪,🔌🔌
Twenty Grammes,https://goo.gl/maps/K3sJujobYkxpTwYD8,12:00PM,10:00PM,☕☕☕,💪💪,🔌🔌
Joe & Dough Cafe,https://goo.gl/maps/i9XLPKcjx6hSS4mU9,07:30AM,05:00PM,☕☕☕,💪💪,🔌🔌

